i,time_sec,src,ref,hyp
11,1.300615,"Collys Teamkollege bei Durham, Ben Stokes, wird bei den One-Dayers nicht eingesetzt, Root erhielt eine ähnliche Pause gegen Australien und ich für meinen Teil habe kein Problem damit.","Colly's Durham team-mate Ben Stokes is rested for the one-dayers, Root was given a similar break against Australia and I for one have no issue with this.","Colly's teammate at Durham, Ben Stokes, is not in the One-Dayers, Root got a similar break against Australia and I for my part have no problem with it."
12,0.478064,"Die öffentliche Meinung hierzu war im März, kurz nachdem das Problem ans Licht kam, gespalten.","The public's views on this were split back in March, shortly after the issue came to light.","Public opinion on this issue was divided in March, shortly after the problem came to light."
13,0.571483,"Die BBC Music Awards, die im vergangenen Jahr starteten, scheinen The Brits nur unter einem anderen Namen zu sein.",The BBC Music Awards which started last year seem to be the Brits by another name.,"The BBC Music Awards, which started last year, seem to be the Brits only under a different name."
14,0.323593,An der Sitzung nahmen auch die Tabak-Leitung von PHE teil.,The meeting was also attended by the tobacco lead at PHE.,The meeting was also attended by PHE's tobacco management.
15,0.336143,Kilometergeld hatte auch der zweite Angeklagte bezogen.,The second defendant had also obtained a mileage allowance.,Kilometer money had also been received by the second defendant.
16,0.533673,"Das Black-Friday-Phänomen, das aus Amerika importiert wurde, wird als ein Grund für die nachlassenden Umsätze zitiert.","The Black Friday phenomenon, which has been imported from America, is being cited as one of the reasons behind the slowing sales.",The black friday phenomenon imported from America is cited as a reason for declining sales.
17,1.436683,"""Zu viele Familien wurden durch die Schikanen der Bruderschaft zerstört. Mindestens ein Student stirbt seit 1970 jedes Jahr an den Schikanen"", sagte Douglas Fierberg, ein Rechtsanwalt, der Dengs Familie vertritt, in einer Erklärung.","""Too many families have been devastated as a result of fraternity hazing, with at least one student dying every year from hazing since 1970,"" Douglas Fierberg, an attorney representing Deng's family, said in a statement.","""Too many families were destroyed by the harassment of the Brotherhood. At least one student has died of the harassment every year since 1970,"" said Douglas Fierberg, a lawyer representing Deng's family, in a statement."
18,1.411088,"""Die erste Erhöhung der Fed seit der globalen Finanzkrise wird unweigerlich von einigen als ein Signal für das Ende der Ära des ""billigen Geldes"" interpretiert werden"", sagte Julian Jessop, Chefökonom bei Capital Economics, in einer Mitteilung an Kunden.","""The first hike from the Fed since the global financial crisis will inevitably be interpreted by some as signaling the end of the era of 'cheap money,' "" Julian Jessop, chief global economist at Capital Economics, said in a note to clients.","""The first increase in the Fed since the global financial crisis will inevitably be interpreted by some as a signal for the end of the ""cheap money"" era,"" said Julian Jessop, Chief Economist at Capital Economics, in a message to customers."
19,0.993382,"Dazu gehörte das Medley von Steuer-fürchtenden-Schurken, Telefon-hackenden Ausländern und den Pseudo Nicht-Inländern, die die meisten unserer großen Zeitungen besitzen.","They included the medley of tax-shy rascals, phone-hacking foreigners and pseudo non-doms who own most of our great newspapers.","This included the Medley of tax-fearing villains, telephone-hacking foreigners, and the pseudo-non-domestic who own most of our major newspapers."
20,0.833816,"Dieses sechste ordentliche Studioalbum ist noch immer breit orchestriert, jedoch von programmierten Sequenzen oder Beats getragen und spielt mit allerlei Effekt und Hall.","This sixth proper studio album is still broadly orchestrated, but supported by programmed sequences or beats and plays with a variety of effects and echoes.","This sixth regular studio album is still widely orchestrated, but carried by programmed sequences or beats and plays with all kinds of effect and reverb."
21,0.222115,Die Lufthansa plant einen großen Konzernumbau.,Lufthansa is planning a major reconstruction of its group.,Lufthansa is planning a major corporate conversion.
22,0.912771,"Es wird behauptet, dass Briten ihre Hämmer und Pinsel zugunsten des Einsatzes von qualifizierten osteuropäischen Handwerkern, die die Arbeiten in ihrem Zuhause durchführen, niederlegen",Britons are said to be putting down their hammers and paintbrushes in favour of employing skilled Eastern European tradesmen to carry out work in their home,It is claimed that Britons lay down their hammers and brushes in favor of the use of qualified Eastern European craftsmen who carry out the work in their home
23,1.073868,Die beiden wollten über die Umsetzung der internationalen Vereinbarung sowie über Teherans destabilisierende Maßnahmen im Nahen Osten sprechen.,The two wanted to talk about the implementation of the international agreement and about Teheran's destabilising activities in the Middle East.,They wanted to talk about the implementation of the international agreement and about Tehran's destabilising measures in the Middle East.
24,0.496277,"""Das ist Multikulti für den Magen"", meint Alhay.","""That is multi-cultural food!"" says Alhay.","""This is multicultural for the stomach,"" Alhay says."
25,0.668088,"Phillip Cocu, der PSV-Trainer, sagte: ""Es ist eine sehr schlimme Verletzung.""","Phillip Cocu, the PSV coach, said: ""It's a very bad injury.""","Phillip Cocu, the PSV trainer, said, ""It's a very bad injury."""
26,0.582962,Eine Rezession kam innerhalb von nur 11 Monaten nach der ersten Zinssatzerhöhung und dauerte 86 Monate.,A recession has come as quickly as 11 months after the first rate hike and as long as 86 months.,A recession came within just 11 months of the first rate hike and lasted 86 months.
27,0.417266,Sein Auto lief noch in der Einfahrt.,His car was still running in the driveway.,His car was still in the driveway.
28,0.209303,Er berichtete telefonisch:,He reported by telephone:,He said by phone:
29,0.732014,"Die Schallwellen bewirken die Öffnung dieser Ionenkanäle und aktivieren die Zellen, denen sie zugeordnet sind, so ein Bericht Nature Communications.","The sound waves make these ion channels open up and activate the cells they are attached to, according to a report in Nature Communications.","The sound waves cause the opening of these ion channels and activate the cells to which they are assigned, according to a Nature Communications report."
30,0.155145,Er weinte.,He was crying.,He cried.
31,0.778574,"Die Impulse arbeiten durch das Einschalten von Motoneuron-Zellen, die genetisch geändert werden, um die Membran-Kanäle zu tragen, die auf Ultraschallwellen reagieren.",The pulses work by switching on motor neuron cells that are genetically modified to carry membrane channels that respond to ultrasonic waves.,The impulses work by switching on Motoneuron cells that are genetically modified to carry the membrane channels that respond to ultrasonic waves.
32,0.835076,"Der UN-Chef fordert erneut alle Parteien, einschließlich des geteilten UN-Sicherheitsrats, auf, sich zu vereinen und integrative Verhandlungen zum Finden einer politischen Lösung zu unterstützen.","The U.N. chief again urged all parties, including the divided U.N. Security Council, to unite and support inclusive negotiations to find a political solution.","The UN leader once again calls on all parties, including the United Nations Security Council, to unite and support inclusive negotiations to find a political solution."
33,1.066281,"Das einzige, was ich sehen konnte, war der Ball, der in eine andere Richtung unterwegs war, so dass es aussah, als ob er [Moreno] ihn berührt hatte, aber ich konnte nicht den Angriff auf Luke sehen.","The only thing I could see was the ball, which was heading in a different direction, so it looked like he [Moreno] touched it, but I couldn't see the tackle on Luke.","The only thing I could see was the ball that was heading in a different direction, so it looked like he had touched [Moreno] him, but I couldn't see the attack on Luke."
34,0.747517,"Beide unterrichteten in der Abteilung für Sozialwissenschaften und Geschichte, deren Lehrkörper 17 Mitglieder umfasst, und viele Studenten besuchten Kurse von beiden.","Both taught in the Division of Social Sciences and History, which lists 17 faculty members, and many students took courses from both.","Both taught in the Department of Social Sciences and History, whose faculty includes 17 members, and many students attended courses of both."
35,0.789065,"Er konnte nicht wiederbelebt werden, und er starb am nächsten Morgen an seinen Verletzungen.",He could not be revived and he died the next morning.,"He could not be revived, and he died of his injuries the next morning."
36,0.249766,Sie war auch aus persönlichen Gründen bemerkenswert.,"It was noteworthy because of personal reasons, too.",She was also remarkable for personal reasons.
37,0.702371,"Mr Corbyn sagte der TUC-Konferenz, dass Labour Änderungen vorlege, um die ganze Idee einer Begrenzung insgesamt zu entfernen.",Mr Corbyn told the TUC conference Labour was putting forward amendments to remove the whole idea of a cap altogether.,Mr Corbyn told the TUC conference that Labour is making changes to remove the whole idea of a limit overall.
38,0.66051,"Die Ansichten sind stärker gemischt bei denjenigen, die derzeit Clinton nicht unterstützen - nur etwa ein Viertel würde sie begeistert unterstützen.",Views are more mixed among those not currently backing Clinton - only about a quarter would enthusiastically support her.,The views are more mixed among those who currently do not support Clinton - only about a quarter would enthusiastically support them.
39,1.447457,"Thanasi Kokkinakis war einer der ""Kollateralschäden"" in dem kürzlichen Sturm rund um seinen Freund Nick Kyrgios und verdient nach Ansicht des Präsidenten des australischen Tennisverbandes Steve Healy eher Lob als Kritik für sein eigenes Verhalten.","Thanasi Kokkinakis has been the collateral damage in the recent storm around his friend Nick Kyrgios and deserves kudos rather than criticism for his own behaviour, according to Tennis Australia president Steve Healy.","Thanasi Kokkinakis was one of the ""collateral damage"" in the recent storm around his friend Nick Kyrgios and, according to the president of the Australian tennis association Steve Healy, deserves praise rather than criticism for his own behavior."
40,1.932506,"Während Aldi die Eröffnung von zwei Vertriebszentren und der ersten 120 Läden in South Australia und Western Australia Anfang nächsten Jahres vorbereitet, stärken Metcash und IGA-Supermärkte ihre Beziehungen mit lokalen Lebensmittel-Lieferanten und bauen die Marke IGA durch Mainstream-Marketing und Vermarktung über die Sozialen Medien auf, ebenso über Events wie Adelaide-Show.","As Aldi prepares to open two distribution centres and the first of as many as 120 stores in South Australia and Western Australia early next year, Metcash and IGA supermarkets are strengthening relationships with local food suppliers and building the IGA brand through mainstream and social media marketing and events such as the Adelaide show.","While Aldi is preparing the opening of two distribution centers and the first 120 stores in South Australia and Western Australia early next year, Metcash and IGA supermarkets strengthen their relationships with local food suppliers and build the IGA brand through mainstream marketing and marketing through social media, as well as events and Adelaide show."
41,0.999682,"Neueste Änderungen in der Beschäftigungspolitik der Universität bedeuteten, dass die Promotion, für die Lamb so hart gearbeitet hatte, für ihn keine Garantie für einen automatischen Weg zu einer Anstellung als Assistant-Professor darstellen würde.",Recent changes in the university's hiring policies meant that the doctorate Lamb had worked so hard to earn would not guarantee him an automatic tenure track to become an assistant professor.,"Recent changes in university employment policy meant that the doctorate, for which Lamb had worked so hard, would not guarantee him an automatic way to become an assistant professor."
42,0.706839,Washington kritisiert den andauernden Siedlungsbau Israels und wirft Netanyahu mangelnden Willen beim Friedensprozess vor.,Washington criticises the continuous building of settlements in Israel and accuses Netanyahu of a lack of initiative in the peace process.,Washington criticizes Israel's ongoing settlement building and accuses Netanyahu of lack of will in the peace process.
43,0.255737,Republikanische Wähler gewöhnen sich an die Idee.,Republican voters are getting used to the idea.,Republican voters get used to the idea.
44,0.812807,"Die Rede war mit Obama nicht abgesprochen, ein Treffen hatte dieser mit Hinweis auf die seinerzeit bevorstehende Wahl in Israel abgelehnt.","The speech had not been agreed with Obama, who had rejected a meeting with reference to the election that was at that time impending in Israel.","The speech was not agreed with Obama, but a meeting had rejected it with reference to the upcoming election in Israel at the time."
45,0.452781,"Andere Anwendungen könnten sich auf Muskelzellen und Insulin-produzierende Zellen konzentrieren, fügte er hinzu.","Other applications could focus on muscle cells and insulin-producing cells, he added.","Other applications could focus on muscle cells and insulin-producing cells, he added."
46,0.50942,"""Wir brauchen Energie"", sagte Trump am vergangenen Samstag während eines Kampagnen-Auftritts in Iowa.","""We need energy,"" Trump said last Saturday during a campaign stop in Iowa.","""We need energy,"" Trump said last Saturday during a campaign performance in Iowa."
47,0.715513,"Die Leichen von 29 Betern, die getötet wurden, als ein Kran durch die Große Zentralmoschee Mekkas stürzte, wurden durch die Straßen getragen.",The bodies of 29 of the worshipers killed when a crane crashed collapsed at Mecca's Grand Central Mosque were carried through the streets,The bodies of 29 beers killed when a crane crashed through the Great Central Mosque of Mecca were carried through the streets.
48,0.394841,Das Thema Investorenschutz wurde bislang allerdings nicht mit den USA diskutiert.,"The issue of investor protection, however, has to date not been discussed with the USA.","However, the issue of investor protection has not yet been discussed with the US."
49,0.660524,"Sehen Sie ein, warum dieses Programm oft diskutiert wird, weil es nicht originell ist und nicht besonders markant?",Can you see why that programme is often discussed because it is not original and it is not particularly distinctive?,Do you see why this program is often discussed because it is not original and not particularly striking?
